_orig_index,text,clean_text_sample,text_sentiment
0,"""BUY WHEN THERE IS 
BLOOD ON THE STREETS.""
-JOHN.D.ROCKEFELLER
#stockmarketcrash","""BUY WHEN THERE IS BLOOD ON THE STREETS."" -JOHN.D.ROCKEFELLER #stockmarketcrash",0
1,"""Bitcoin Of Nifty #MarketCrash"" Comimg Soon! #StockMarketCrash #Nifty","""Bitcoin Of Nifty #MarketCrash"" Comimg Soon! #StockMarketCrash #Nifty",1
2,"""If you can remind yourself daily that 'this too shall pass,' when most investors are fearful of buying securities and economic data continues to be 2, (cont.)

#stockmarketcrash #bearmarket #stocks #investing","""If you can remind yourself daily that 'this too shall pass,' when most investors are fearful of buying securities and economic data continues to be 2, (cont.) #stockmarketcrash #bearmarket #stocks #investing",2
3,"""Keep it simple. Simple time tested methods that are well executed will beat fancy complicated methods every time.""

- Curtis Faith

#trading #stockmarketcrash","""Keep it simple. Simple time tested methods that are well executed will beat fancy complicated methods every time."" - Curtis Faith #trading #stockmarketcrash",1
4,"""Well, somebody told us Wall Street fell, but we were so poor that we couldn't tell."" Alabama - Song of the South. #stockmarketcrash","""Well, somebody told us Wall Street fell, but we were so poor that we couldn't tell."" Alabama - Song of the South. #stockmarketcrash",2
5,"#AdaniGroup Stocks fall from highs, whenever it may be would be bigger than market cap of #ITC. Not to mention the price rigging accusations and connections with old time frauds #ketanparekh
Trading at PEs of over 300!
#adanibugs #tulipmania #bearmarket #marketcrash","#AdaniGroup Stocks fall from highs, whenever it may be would be bigger than market cap of #ITC. Not to mention the price rigging accusations and connections with old time frauds #ketanparekh Trading at PEs of over 300! #adanibugs #tulipmania #bearmarket #marketcrash",2
6,"#AmbujaCem 360 PE
2.85-3.05

#Nifty50 
#StockMarket
#StockMarketCrash
#NSE #Nifty
#SGXNifty
#StocksToBuy #OptionsTrading #LIC",#AmbujaCem 360 PE 2.85-3.05 #Nifty50 #StockMarket #StockMarketCrash #NSE #Nifty #SGXNifty #StocksToBuy #OptionsTrading #LIC,0
7,#BNB $220 incoming! #Cryptocrash #bearmarket #BTC,#BNB $220 incoming! #Cryptocrash #bearmarket #BTC,0
8,#BTC #bearmarket,#BTC #bearmarket,0
9,"#BTC/USDT Scalp Short!!!

Entry Zone:29600 &amp; 31700

Sell zone:29350-29000-28500-28000

StopLoss : 1Hour Close Above 32700

Lev : Cross With 20200x Lev

Invest only 1-3%

#btc #ftm #ETH #bnb #BNBChain #bearmarket #Ø§_Ø¨Øª____ #LUNAtics #luna",#BTC/USDT Scalp Short!!! Entry Zone:29600 &amp; 31700 Sell zone:29350-29000-28500-28000 StopLoss : 1Hour Close Above 32700 Lev : Cross With 20200x Lev Invest only 1-3% #btc #ftm #ETH #bnb #BNBChain #bearmarket #Ø§_Ø ̈Øa____ #LUNAtics #luna,0
10,"#BTC_
Not bullish anymore - (Bullish yes but only in weeks/months)
But, #btc_ is now overbought on daily 
25-26k incoming :( 
Absolute shitcoin
Be safe!
#crypto #cryptocurrency #bearmarket","#BTC_ Not bullish anymore - (Bullish yes but only in weeks/months) But, #btc_ is now overbought on daily 25-26k incoming :( Absolute shitcoin Be safe! #crypto #cryptocurrency #bearmarket",1
11,"#Banknifty has entered into the Bear Market territory. It is down by 20.6% from record high.
#stockmarketcrash",#Banknifty has entered into the Bear Market territory. It is down by 20.6% from record high. #stockmarketcrash,0
12,#BearMarket continues in full swing today,#BearMarket continues in full swing today,0
13,#BearMarket2022 is better with frenz,#BearMarket2022 is better with frenz,1
14,#Bearmarket looks like Russian whales enjoying their victory day by selling all their crypto assets to buy gifts for their veterans lol __ #BTC #Bitcoin #ETH,#Bearmarket looks like Russian whales enjoying their victory day by selling all their crypto assets to buy gifts for their veterans lol __ #BTC #Bitcoin #ETH,1
15,#Bearmarket's are so untrustworthy. You never believe the green candles. End of the day fades...,#Bearmarket's are so untrustworthy. You never believe the green candles. End of the day fades...,0
16,"#Bhartiartl #Mahindra #LT stocks not much falling in this Market. 

Let's focus on. 

#stockstowatch #StocksInFocus #stockmarketcrash #StocksToTrade #sharemarket",#Bhartiartl #Mahindra #LT stocks not much falling in this Market. Let's focus on. #stockstowatch #StocksInFocus #stockmarketcrash #StocksToTrade #sharemarket,1
17,#Bidenflation ~~~&gt; #BearMarket,#Bidenflation ~~~&gt; #BearMarket,0
18,#Bitcoin it__ a different way of life ! #BTCUSDT what a lovely chart ! #bearmarket here we come !,#Bitcoin it__ a different way of life ! #BTCUSDT what a lovely chart ! #bearmarket here we come !,1
19,"#BullMarket ends in euphoria; #BearMarket ends in Fear! 

Question for me to you #cryptocommunity are you all Bullish or Bearish on #crypto today June 2, 2022??

#commentbelow","#BullMarket ends in euphoria; #BearMarket ends in Fear! Question for me to you #cryptocommunity are you all Bullish or Bearish on #crypto today June 2, 2022?? #commentbelow",1
20,#CVAGroupTrades #StocksToBuy #stockmarkets #stockmarketcrash #Netflix We rolled down our calls to the May'20'22'$370 Calls. This position has now 60 points of locked-in profits at less than 50% cost.,#CVAGroupTrades #StocksToBuy #stockmarkets #stockmarketcrash #Netflix We rolled down our calls to the May'20'22'$370 Calls. This position has now 60 points of locked-in profits at less than 50% cost.,1
21,"#Celsius pulling a #Luna, $BTC flirting with sub-25k, most top 100 alts down 20-40% on the 7 day.. we admitting we're in a #bearmarket yet?","#Celsius pulling a #Luna, <TICKER> flirting with sub-25k, most top 100 alts down 20-40% on the 7 day.. we admitting we're in a #bearmarket yet?",1
22,"#Coalindia 4.0 pts down in our sell from 185.20. Profit _16,800 per lot so far. Risk/Reward given 2:1 already.

#NIFTYMETAL #NIFTYFUTURE #TRADINGTIPS #bearish #bearmarket","#Coalindia 4.0 pts down in our sell from 185.20. Profit _16,800 per lot so far. Risk/Reward given 2:1 already. #NIFTYMETAL #NIFTYFUTURE #TRADINGTIPS #bearish #bearmarket",1
23,"#Crypto community on Twitter leeking wounds in massive hordes...
#Cryptocrash #Bitcoin #bearmarket",#Crypto community on Twitter leeking wounds in massive hordes... #Cryptocrash #Bitcoin #bearmarket,0
24,"#Crypto prices are down.  This is the perfect time to #keepstackin! Opened my first $strong node at a price of $300 a token!  Staked another 100 $hydra coins, another million $VSS and earning 2% in $CRO every time I use my @cryptocom card!  A #bearmarket WILL make you wealthy!","#Crypto prices are down. This is the perfect time to #keepstackin! Opened my first <TICKER> node at a price of $300 a token! Staked another 100 <TICKER> coins, another million <TICKER> and earning 2% in <TICKER> every time I use my <USER> card! A #bearmarket WILL make you wealthy!",1
