text,text_sentiment
#bearmarket i expect retest of 30k by end of jan,0
"Mientras estÃ©s vendiendo en el bear market, alguien estarÃ¡ comprando.
#bearmarket",0
#ETH is gone_¦ð_#Ethereum #cryptocurrencies #bearmarket,0
It__ finally here!  #StockMarketcrash,0
I don__ see it. #stockmarketcrash,0
"$TSLA is cheap! Just sayin_
#stockmarketcrash",0
"I am a trader, who don't even opened a single trade ( spot + lev ) without SL ever. 

#bearmarket #btc #bitcoin",0
"OpenSea removed the activity chart from all #NFT #NFTs collections... Why, just why?!!
@opensea #BearMarket #BearOpenSea #ETH #NGMI",0
Bhai sare Fintwits ne toh paisa banaya hai aj_ toh gavaya kisne fir??? Zero sum game nahi hai kya ye ?? ___¤ª #nse #bse #stockmarketcrash #StockMarket #StockMarketindia #indianfintwit @IndianFintwit #fintwit,0
#stockmarketcrash,0
R.I.P El Salvador __ #bearmarket #BTC,0
"à¤¹à¤®à¥_ à¤¤à à¤¶àà¤¤° à¤¨à à¤²àà¤_¤¾...
à¤²à¤¡à¤¼àà¤¿à¤¯à¥_ à¤à¤ à¤_¤¹à¤¾à à¤¦à¤® à¤¥à¤¾ __
#stockmarketcrash 
#ValentineDay",0
"2021-
Dad - where is your savings?
Me - I have it with me 
Dad - where is it ?
Me - it__ not in bank but I have it under control.

2022-
Dad - where is your savings?
Me- Why are you asking me, Go ask Putin.

#stockmarketcrash #Crypto #Ukraine #gold 
#UkraineRussia #BREAKING",0
#bearmarket  too much red,0
"Pura market down.. 

Aek akela #TCS Upper ____

#stockmarketcrash #StockMarketindia #stockmarkets",0
@devchart 20k$ incoming #bearmarket,0
"@CoinFlashx #JusticeForJohnnyDepp 
#stockmarketcrash",0
"Even Stock market is Red on valentine _¤ï__¤£

#ValentinesDay2022 #stockmarketcrash",0
#stockmarketcrash à´´±àµ_´±à´¿à_àµ__àµ,0
"Millionaires are made in the bear market! 
Let me repeat that again! 
Millionaires are made in the bear market!

#NFT #cryptocurrency #crypto #bearmarket",0
Impeach Biden! #Cryptocrash #stockmarketcrash #BitcoinCrash,0
"Hunters, such fickle beings, one night they hunt beasts, the next they become the hunted. 

#stockmarketcrash",0
The bearish this gets the more bullish I become. #bearmarket #Bullish #BTC #stockmarketcrash,0
"*sees #StockMarketCrash trending
**holds on to pants _____¤¨",0
"Time to switch to onlyfans!

#bearmarket",0
Are we in a #bearmarket?,0
"Equity or FNO? What do you prefer?

#equity #fno #stockmarketcrash #stockmarket #indianmarket",0
"#Crypto community on Twitter leeking wounds in massive hordes...
#Cryptocrash #Bitcoin #bearmarket",0
"Ø§____ 23.5.22 Ø³_Ø¯Ø®_ _Ø¤Ø´Ø±
#SP500 
_Ø±Ø­_Ø© Ø¨_Ø±_Ø§Ø±_Øª Ø¨_Ø²__ Ø§_Ø«Ø± __ Ùª20  
#bearmarket #Bitcoin #cryptocurrency",0
"Jabse ye LIC aya hi tabse market ke loude Lage hi bancho__
#marketcrash 
#stockmarketcrash",0
"#stockmarketcrash
Everyone's portfolio is in red as of now._",0
"I think I just need to buy a bunch of puts so the market goes green...

$AMC #stockmarketcrash",0
Survive the storm! $SPY #bearmarket,0
#stockstowatch #StocksMarket #stockmarketcrash #FinancialFreedom $VFC,0
"Hace 11 aÃ±os #btc casi llega a valer 0, cual es la sorpresa que este en 20k maÃ±ana? O en 8k para fin de mes... 
#cryptocurrency #bearmarket  #FearStreet  #HODL",0
@JasonBo68354014 Ladki ka chakkar babu bhaiya  #stockmarketcrash,0
"don't think we are done yet brothers we will see a miner capitulation soon !
average mining costs are at 30k
#BTC price currently at 18,5k ___
#Ponzi #Bitcoin #BearMarket2022 
just keep DCA if u believe #Crypto will survive __",0
"à¤¤¹ à¤µàà¥_¤¤ à¤ à¤_à¤_¤° à¤_¤¾à¤_à¤ ____

 #stockmarketcrash #Crypto #worldwar3",0
"$AGRI TAKING OFF!!!!!!!
#Stocks #StockMarket #StocksToBuy #stockmarkets #stockmarketcrash",0
Preach Papa cz_binance  ________#bearmarket #Btc,0
Have we entered #bearmarket ? _,0
Les prochains jours s__nnoncent baissiers sur le Bitcoin et les alt coins. Nous devrions nous attendre _ un test des 27k ainsi que les 24k. #BitcoinCrash #bearmarket #altcoinsignal,0
Buy the dip or just #hodl ? #stockmarketcrash,0
"""BUY WHEN THERE IS 
BLOOD ON THE STREETS.""
-JOHN.D.ROCKEFELLER
#stockmarketcrash",0
#stockmarketcrash #letsgobrandon,0
Ø¨Ø¨Ø³Ø§Ø·Ø©_ Ø¹_Ø¯_Ø§ Øª_Ø®_Ø¶ ___Ø© Ø§_Ø£Øµ__ Ø§_Ø±___Ø© Ø¨_Ø³Ø¨Ø© 20Ùª _ ØªØ¹ØªØ¨Ø± _Ø°_ Ø§__ØªØ±Ø© Ø¨Ø§_Ø³__ Ø§__ØªØ¯Ø§Ø¹_Ø© Ø£_ #BearMarket,0
adani wilmar is very strong....... #stockmarketcrash,0
@Mikki58617040 And that__ how you #BearMarket2022,0
"Time to dive into Bear Market !

#stockmarketcrash 
#cryptocurrency 
#Cryptocrash",0
Is it time to buy the dip now ? _ #buythedip #bearmarket #BitcoinCrash,0
"Where do you see the bottom #Bitcoin? 

$BTC
#Cryptos
#BitcoinCrash
#bearmarket
#Ethereum
#BTC",0
Nfts is my hobby not my job crypto and stocks is my long term investment I don't really on any meme coins now that I'm looking at it #bearmarket #Cryptocrash #stockmarketcrash  #lfg,0
@CryptoWhale #bearmarket,0
"Sensex crashes 1,747 points to close at 56,406 as Russia-Ukraine tensions trigger global sell off; Nifty ends below 16,850 

#StockMarketCrash #StockMarketIndia",0
"I believe Netflix is undervalued.

#Netflix #stockmarketcrash #WarrenBuffett #Bitcoin",0
#stockmarketcrash bulldozed petro dollars in india,0
Margin Calls are starting to hit everywhere. #stockmarketcrash #cryptocrash #cryptotrading,0
If I was a short seller. I would use this dip to cover. #stockmarketcrash,0
"Quando pensi che Ã¨ lunedÃ¬ e non hai voglia di andare a lavoro, pensa a quelli che lavorano in #BORSA e stamattina sono cazzi. #RussiaUkraine #stockmarketcrash",0
"Hola! #Crypto and #Forex people. Tell me how long do you think the #bearmarket will be? 

Buy the #dip? #HODL ?",0
If we are in the #bearmarket are we going to live under the bridge also in metaverse or only in real life? #BTC #SAND #Crypto,0
anybody have the numbers for today ? #stockmarketcrash,0
"They say make money in compounding, &amp; here I'm loosing money in compounding__
.
.
.
.
.
#stockmarketcrash #StockMarket #Nifty #sensex #marketcrash",0
ahi viene el vergaso #Bitcoin #bearmarket #crisis #recesion,0
"Those who react will make through the #bearmarket 

#BTC #bitcoin #ETH #Ethereum #Metaverse #NFTs #bear",0
"People with small capital can do business,people with small mentality can__  #StockMarket #stockmarketcrash #Trending #bearish #Bullish #nifty50 #banknifty #OptionsTrading #FuelPrices",0
There__ nothin to talk about crypto__ &amp; sticks right now. Absolutely nothin. Just focus on sports. Long term it is I guess. #bearmarket #Bitcoin,0
"Invest in companies Who__ Products You consume on Day to Day basis ex-Relaxo , Asian paints, Nestle , Marico , Havells ____    #market #stockmarketcrash #StockMarketindia #India",0
"Ek mehenge hathiyaar bechega. 

Dusra mehengi gas bechega. 

Baaki puri duniya bikegi.

#worldwar3 #stockmarketcrash",0
"Laal ishq_¤ï_
#stockmarketcrash #portfolio",0
"#stockmarketcrash 
#LICIPO to panauti nikla",0
"The S&amp;P 500 would not bottom until March 23, a week later.  From the Feb. 19, 2020, high to the March 23 bottom, the S&amp;P would decline about 34%.

#stocks #markets #stockmarketcrash",0
